epoch;accuracy;loss;val_accuracy;val_loss
0;0.11454545706510544;2.2951741218566895;0.12666666507720947;2.2717809677124023
1;0.15272727608680725;2.2572684288024902;0.14000000059604645;2.2352137565612793
2;0.20818181335926056;2.1546223163604736;0.24666666984558105;2.102102756500244
3;0.34272727370262146;1.780202865600586;0.3700000047683716;1.715362310409546
4;0.4972727298736572;1.3780155181884766;0.4166666567325592;1.6202201843261719
5;0.6063636541366577;1.1128103733062744;0.5600000023841858;1.2696237564086914
6;0.6863636374473572;0.868843138217926;0.5600000023841858;1.1360470056533813
7;0.7481818199157715;0.7249282002449036;0.5133333206176758;1.2812005281448364
8;0.8109090924263;0.5539187788963318;0.5433333516120911;1.3783315420150757
9;0.8172727227210999;0.49883371591567993;0.4866666793823242;1.5838747024536133
10;0.8409090638160706;0.4398292303085327;0.5299999713897705;1.4824049472808838
11;0.8790909051895142;0.3689977824687958;0.5533333420753479;1.516492247581482
12;0.9118182063102722;0.27970102429389954;0.5066666603088379;1.7517858743667603
13;0.9290909171104431;0.2083459496498108;0.5366666913032532;1.6805094480514526
14;0.946363627910614;0.16894906759262085;0.44999998807907104;2.2888951301574707
15;0.949999988079071;0.14645105600357056;0.5099999904632568;1.998502254486084
