epoch;accuracy;loss;val_accuracy;val_loss
0;0.1818181872367859;3.026052474975586;0.12999999523162842;2.291938066482544
1;0.38545453548431396;1.7791790962219238;0.12666666507720947;2.3669323921203613
2;0.5227272510528564;1.3686137199401855;0.10000000149011612;2.4544265270233154
3;0.6990908980369568;0.9154048562049866;0.10000000149011612;2.630824089050293
4;0.8127272725105286;0.575901985168457;0.10000000149011612;2.6636195182800293
5;0.885454535484314;0.3673810362815857;0.10000000149011612;2.651630401611328
6;0.9309090971946716;0.22699184715747833;0.10000000149011612;2.5393571853637695
7;0.9609090685844421;0.1295035481452942;0.10333333164453506;2.52496600151062
8;0.9609090685844421;0.12806813418865204;0.1366666704416275;2.2325072288513184
9;0.9690909385681152;0.09484235942363739;0.1433333307504654;2.1904447078704834
10;0.9927272796630859;0.03950980305671692;0.1899999976158142;2.0064098834991455
11;0.9890909194946289;0.03857482597231865;0.36666667461395264;1.7212929725646973
12;0.9981818199157715;0.012163642793893814;0.40666666626930237;1.637170672416687
13;0.9990909099578857;0.005195112433284521;0.5166666507720947;1.4941471815109253
14;1.0;0.0038706371560692787;0.54666668176651;1.4472579956054688
15;1.0;0.0017632028320804238;0.596666693687439;1.346994400024414
16;1.0;0.0009539921884424984;0.596666693687439;1.3296219110488892
17;1.0;0.000777110573835671;0.6000000238418579;1.3531690835952759
18;1.0;0.0006651915609836578;0.596666693687439;1.3973623514175415
19;1.0;0.0006149860564619303;0.596666693687439;1.4606646299362183
20;1.0;0.0005457006627693772;0.5933333039283752;1.5250080823898315
21;1.0;0.0004893525037914515;0.5933333039283752;1.585536241531372
22;1.0;0.00046097396989353;0.5866666436195374;1.6413062810897827
23;1.0;0.0004287260235287249;0.5866666436195374;1.6843148469924927
24;1.0;0.0003938327427022159;0.5833333134651184;1.7236031293869019
25;1.0;0.00037266110302880406;0.5833333134651184;1.7605047225952148
26;1.0;0.0003441840526647866;0.5833333134651184;1.7856842279434204
27;1.0;0.0003311203035991639;0.5799999833106995;1.8123079538345337
