epoch;accuracy;loss;val_accuracy;val_loss
0;0.12909090518951416;5.322778701782227;0.14000000059604645;2.2854394912719727
1;0.15454545617103577;3.6553990840911865;0.17666666209697723;2.307504892349243
2;0.1836363673210144;3.3099398612976074;0.10000000149011612;2.491450548171997
3;0.2136363685131073;2.9971446990966797;0.10000000149011612;2.773500680923462
4;0.24181817471981049;2.6869900226593018;0.10000000149011612;2.9317216873168945
5;0.30636364221572876;2.414979934692383;0.10000000149011612;3.116532802581787
6;0.36454546451568604;2.095113754272461;0.10000000149011612;3.6347639560699463
7;0.459090918302536;1.7314481735229492;0.10000000149011612;3.4271275997161865
8;0.5109090805053711;1.56956148147583;0.10000000149011612;3.6731388568878174
9;0.5718181729316711;1.3081817626953125;0.10000000149011612;3.426936149597168
10;0.6399999856948853;1.0520130395889282;0.10000000149011612;3.1861114501953125
11;0.6800000071525574;1.0055756568908691;0.1066666692495346;2.997751235961914
